numero_comprobante,fecha,tipo_comprobante,cuit_proveedor,razon_social,importe_neto,alicuota_iva
1004,2024-08-02,M,33-45678901-9,Sur SA,12258.78,0.27
1048,2024-08-03,A,30-66778899-4,Noroeste SRL,116827.66,0.27
1066,2024-08-03,A,33-45678901-9,Sur SA,80029.07,0.21
1031,2024-08-04,A,30-11223344-5,Puna SA,14060.81,0.27
1177,2024-08-04,M,33-45678901-9,Sur SA,90603.58,0.21
1241,2024-08-04,B,33-55667788-0,Altiplano SA,108154.46,0.27
1120,2024-08-05,B,33-88990011-2,Cordillera SA,106392.61,0.27
1139,2024-08-05,M,30-44556677-3,Valles SRL,49129.26,0.105
1150,2024-08-05,A,33-88990011-2,Cordillera SA,91182.29,0.0
1093,2024-08-06,M,33-45678901-9,Sur SA,76927.44,0.105
1115,2024-08-07,A,33-45678901-9,Sur SA,109750.06,0.21
1003,2024-08-08,A,33-45678901-9,Sur SA,89502.96,0.105
1206,2024-08-08,A,33-45678901-9,Sur SA,105689.18,0.21
1025,2024-08-09,A,30-71234567-8,Norte SRL,84380.45,0.21
1104,2024-08-13,A,30-71234567-8,Norte SRL,98972.71,0.21
1160,2024-08-13,B,30-98765432-1,Andes Coop,72376.27,0.27
1205,2024-08-16,M,30-66778899-4,Noroeste SRL,110382.23,0.21
1190,2024-08-17,A,30-44556677-3,Valles SRL,,0.21
1008,2024-08-18,A,33-45678901-9,Sur SA,29453.99,0.0
1052,2024-08-19,M,30-22334455-6,Quebrada SRL,106483.31,0.21
1080,2024-08-21,A,30-11223344-5,Puna SA,46854.89,0.27
1080,2024-08-21,A,30-11223344-5,Puna SA,46854.89,0.27
1085,2024-08-22,A,33-55667788-0,Altiplano SA,45681.35,0.105
1099,2024-08-22,A,30-44556677-3,Valles SRL,118763.76,0.105
1172,2024-08-22,M,33-88990011-2,Cordillera SA,31666.87,0.0
1222,2024-08-22,M,33-45678901-9,Sur SA,92368.46,0.105
1237,2024-08-22,A,30-66778899-4,Noroeste SRL,86127.98,0.27
1039,2024-08-24,M,33-55667788-0,Altiplano SA,33213.46,0.0
1130,2024-08-24,A,30-98765432-1,Andes Coop,89908.7,0.18
1214,2024-08-24,M,30-11223344-5,Puna SA,113740.03,0.0
1204,2024-08-25,M,30-66778899-4,Noroeste SRL,25471.51,0.21
1022,2024-08-26,B,30-66778899-4,Noroeste SRL,28011.99,0.21
1201,2024-08-27,M,30-98765432-1,Andes Coop,109690.09,0.21
1226,2024-08-31,A,30-66778899-4,Noroeste SRL,33276.68,0.27
1424,2024-09-01,B,30-22334455-6,Quebrada SRL,39308.91,0.0
1376,2024-09-02,A,30-71234567-8,Norte SRL,70932.96,0.105
1338,2024-09-03,A,30-66778899-4,Noroeste SRL,7969.42,0.0
1483,2024-09-03,M,30223344556,Quebrada SRL,59646.76,0.0
1310,2024-09-05,A,33-45678901-9,Sur SA,24607.63,0.27
1361,2024-09-05,A,33-88990011-2,Cordillera SA,51914.88,0.18
1416,2024-09-05,A,30-11223344-5,Puna SA,30164.94,0.27
1489,2024-09-05,M,33-55667788-0,Altiplano SA,67197.96,0.27
1352,2024-09-07,A,30-11223344-5,Puna SA,49956.86,0.27
1247,2024-09-08,A,30-71234567-8,Norte SRL,85525.23,0.0
1271,2024-09-08,A,33-88990011-2,Cordillera SA,65629.6,0.27
1258,2024-09-09,A,30-71234567-8,Norte SRL,10361.17,0.105
1461,2024-09-09,A,30-22334455-6,Quebrada SRL,106986.1,0.105
1357,2024-09-13,A,30-44556677-3,Valles SRL,21427.18,0.0
1323,2024-09-15,A,30-98765432-1,Andes Coop,56590.11,0.0
1428,2024-09-18,M,33-33445566-7,Humahuaca SA,119539.38,0.0
1487,2024-09-18,A,30-22334455-6,Quebrada SRL,89465.25,0.27
1488,2024-09-18,A,33-45678901-9,Sur SA,113516.01,0.105
1245,2024-09-19,A,30-11223344-5,Puna SA,41894.1,
1400,2024-09-19,B,30-11223344-5,Puna SA,16146.62,0.105
1278,2024-09-22,B,33-88990011-2,Cordillera SA,24468.37,0.0
1289,2024-09-22,B,33-55667788-0,Altiplano SA,50510.07,0.0
1390,2024-09-22,A,33-45678901-9,Sur SA,10085.52,0.0
1453,2024-09-22,M,30-22334455-6,Quebrada SRL,,0.0
1472,2024-09-22,A,33-33445566-7,Humahuaca SA,86678.24,0.105
1367,2024-09-24,A,30-22334455-6,Quebrada SRL,116307.71,0.0
1486,2024-09-25,A,30-44556677-3,Valles SRL,7202.24,0.21
1303,2024-09-26,A,33-45678901-9,Sur SA,49509.31,0.21
1439,2024-09-27,A,30-11223344-5,Puna SA,35628.51,0.27
1430,2024-09-29,A,30-66778899-4,Noroeste SRL,17629.88,0.21
1456,2024-09-29,A,30-66778899-4,Noroeste SRL,111947.21,0.0
1495,2024-09-29,A,30-22334455-6,Quebrada SRL,108079.82,0.0
1405,2024-09-30,M,30-71234567-8,Norte SRL,11674.04,0.21
1405,2024-09-30,M,30-71234567-8,Norte SRL,11674.04,0.21
1561,2024-10-02,A,33-45678901-9,Sur SA,23071.0,0.21
1689,2024-10-02,B,33-45678901-9,Sur SA,27823.25,0.27
1652,2024-10-03,M,30-22334455-6,Quebrada SRL,80334.75,0.21
1653,2024-10-05,A,30-11223344-5,Puna SA,28507.6,0.105
1572,2024-10-09,A,30-66778899-4,Noroeste SRL,47453.06,0.105
1734,2024-10-09,M,30-22334455-6,Quebrada SRL,59182.45,0.105
1601,2024-10-11,M,30-22334455-6,Quebrada SRL,38495.59,0.27
1749,2024-10-11,A,33-45678901-9,Sur SA,29670.24,0.21
1770,2024-10-11,A,30-98765432-1,Andes Coop,9579.0,0.27
1541,2024-10-12,B,30-71234567-8,Norte SRL,28247.18,0.27
1558,2024-10-12,A,30-22334455-6,Quebrada SRL,116092.91,0.21
1579,2024-10-12,A,30-44556677-3,Valles SRL,63350.6,0.105
1536,2024-10-13,A,30-44556677-3,Valles SRL,33483.07,0.0
1547,2024-10-13,A,30-11223344-5,Puna SA,4792.4,0.105
1761,2024-10-13,A,30-66778899-4,Noroeste SRL,18328.14,0.105
1571,2024-10-14,B,33-33445566-7,Humahuaca SA,42791.08,0.21
1660,2024-10-15,A,30-71234567-8,Norte SRL,118104.45,0.0
1667,2024-10-16,A,33-33445566-7,Humahuaca SA,86764.82,0.27
1622,2024-10-18,M,30-98765432-1,Andes Coop,69154.42,0.27
1712,2024-10-20,M,30-66778899-4,Noroeste SRL,39441.16,0.27
1608,2024-10-22,M,30-22334455-6,Quebrada SRL,17019.96,0.27
1636,2024-10-22,A,33-33445566-7,Humahuaca SA,56868.61,0.27
1638,2024-10-22,B,30-66778899-4,Noroeste SRL,95660.78,0.105
1698,2024-10-22,A,30-11223344-5,Puna SA,,0.27
1594,2024-10-24,A,33-45678901-9,Sur SA,75532.34,
1504,2024-10-25,A,30-11223344-5,Puna SA,80698.14,0.21
1522,2024-10-26,B,30-98765432-1,Andes Coop,4924.79,0.21
1632,2024-10-26,A,30-71234567-8,Norte SRL,35855.82,0.27
1726,2024-10-27,B,33-88990011-2,Cordillera SA,32584.6,0.105
1507,2024-10-28,M,30-44556677-3,Valles SRL,90438.36,0.105
1680,2024-10-29,A,30-11223344-5,Puna SA,79414.85,0.15
1715,2024-10-29,B,30-66778899-4,Noroeste SRL,100007.16,0.27
1559,2024-10-31,B,30-66778899-4,Noroeste SRL,82183.14,0.21
1963,2024-11-01,A,30-44556677-3,Valles SRL,10136.89,0.21
1839,2024-11-02,A,30-44556677-3,Valles SRL,104288.46,0.105
1834,2024-11-03,B,30-71234567-8,Norte SRL,71843.35,0.0
1929,2024-11-03,B,33-33445566-7,Humahuaca SA,48805.22,0.105
1884,2024-11-07,A,33-45678901-9,Sur SA,90999.52,0.105
1803,2024-11-08,M,30-66778899-4,,107941.74,0.27
2018,2024-11-08,A,30-11223344-5,Puna SA,34913.53,0.27
1866,2024-11-09,A,30-44556677-3,Valles SRL,90737.16,0.27
2076,2024-11-09,A,30667788994,Noroeste SRL,43513.64,0.27
1852,2024-11-11,A,30-44556677-3,Valles SRL,26975.91,0.21
2005,2024-11-11,B,30-66778899-4,Noroeste SRL,56855.11,0.21
2019,2024-11-11,M,33-88990011-2,Cordillera SA,74019.14,0.27
2078,2024-11-11,A,30-22334455-6,Quebrada SRL,16237.39,0.105
1870,2024-11-12,B,33-45678901-9,Sur SA,4287.23,0.0
1949,2024-11-12,A,33-33445566-7,Humahuaca SA,95954.81,0.0
2032,2024-11-12,A,33-88990011-2,Cordillera SA,23457.1,0.105
1785,2024-11-13,B,33-88990011-2,Cordillera SA,9347.35,0.27
2071,2024-11-14,M,30-22334455-6,Quebrada SRL,45544.41,0.21
2055,2024-11-15,B,30-11223344-5,Puna SA,78216.54,0.27
1786,2024-11-16,A,33-33445566-7,Humahuaca SA,103094.38,0.27
1895,2024-11-16,M,30-71234567-8,Norte SRL,19981.12,0.105
2042,2024-11-16,A,30-66778899-4,Noroeste SRL,12102.33,0.27
1798,2024-11-18,A,33-55667788-0,Altiplano SA,90910.06,0.27
2033,2024-11-18,A,30-22334455-6,Quebrada SRL,34999.7,0.21
1823,2024-11-20,A,30-44556677-3,Valles SRL,101179.67,0.105
1991,2024-11-20,A,33-88990011-2,Cordillera SA,53387.48,0.21
1991,2024-11-20,A,33-88990011-2,Cordillera SA,53387.48,0.21
1978,2024-11-21,B,30-44556677-3,Valles SRL,14453.59,0.21
1814,2024-11-22,B,30-44556677-3,Valles SRL,5424.93,0.21
1900,2024-11-23,M,33-45678901-9,Sur SA,113835.33,0.27
2059,2024-11-23,A,30-71234567-8,Norte SRL,36719.8,0.27
1914,2024-11-25,A,33-55667788-0,Altiplano SA,73495.34,0.0
1940,2024-11-28,A,30-11223344-5,Puna SA,84268.77,0.21
1919,2024-11-30,A,30-98765432-1,Andes Coop,14755.65,0.0
2106,2024-12-01,A,30-22334455-6,Quebrada SRL,44583.97,0.18
2183,2024-12-03,A,30-11223344-5,Puna SA,85420.79,0.27
2137,2024-12-04,A,33-33445566-7,Humahuaca SA,12051.35,0.105
2128,2024-12-05,M,33-45678901-9,Sur SA,76274.59,0.0
2171,2024-12-06,A,30-98765432-1,Andes Coop,,0.0
2286,2024-12-07,M,30-71234567-8,Norte SRL,56513.21,0.0
2090,2024-12-09,A,30-66778899-4,Noroeste SRL,24601.83,0.27
2172,2024-12-10,B,30-44556677-3,Valles SRL,83345.79,0.27
2263,2024-12-10,A,33-45678901-9,Sur SA,40916.83,0.27
2252,2024-12-11,A,33-88990011-2,Cordillera SA,57461.23,0.27
2268,2024-12-11,M,30-44556677-3,Valles SRL,6330.26,0.0
2125,2024-12-13,B,30-22334455-6,Quebrada SRL,15462.28,0.0
2185,2024-12-14,A,30-11223344-5,Puna SA,94963.71,0.105
2207,2024-12-15,A,30-44556677-3,Valles SRL,61055.72,0.27
2302,2024-12-15,A,30-11223344-5,Puna SA,66807.92,0.21
2232,2024-12-16,M,30-22334455-6,Quebrada SRL,6747.34,0.105
2111,2024-12-18,A,30-66778899-4,Noroeste SRL,34368.74,0.0
2116,2024-12-19,B,30-98765432-1,Andes Coop,14105.34,0.0
2168,2024-12-20,A,30-44556677-3,Valles SRL,69098.28,0.0
2200,2024-12-20,A,33-45678901-9,Sur SA,21578.89,0.21
2212,2024-12-20,A,33-33445566-7,Humahuaca SA,106951.9,0.21
2246,2024-12-21,A,33-88990011-2,Cordillera SA,23415.72,0.27
2170,2024-12-22,A,33-45678901-9,Sur SA,75810.77,0.21
2205,2024-12-23,A,33-33445566-7,Humahuaca SA,53820.11,0.27
2305,2024-12-23,A,33-88990011-2,Cordillera SA,5406.59,0.105
2146,2024-12-25,M,30-44556677-3,Valles SRL,72342.97,0.105
2223,2024-12-25,A,30-71234567-8,Norte SRL,29013.08,0.0
2287,2024-12-25,M,33-55667788-0,Altiplano SA,91260.29,0.27
2094,2024-12-27,M,33-33445566-7,Humahuaca SA,72421.31,0.0
2188,2024-12-27,A,30-66778899-4,Noroeste SRL,78420.9,0.21
2156,2024-12-28,B,30-44556677-3,Valles SRL,109203.52,0.21
2277,2024-12-28,A,33-55667788-0,Altiplano SA,116481.8,0.27
2117,2024-12-31,B,33-88990011-2,Cordillera SA,53975.32,0.105
2380,2025-01-01,A,33-88990011-2,Cordillera SA,64062.23,0.27
2365,2025-01-02,M,30-11223344-5,Puna SA,47190.56,0.27
2309,2025-01-03,M,30-22334455-6,Quebrada SRL,3613.59,0.27
2388,2025-01-03,B,30-98765432-1,Andes Coop,104770.09,0.105
2484,2025-01-03,A,33-88990011-2,Cordillera SA,81958.08,0.105
2426,2025-01-04,A,30-22334455-6,Quebrada SRL,90118.43,0.27
2413,2025-01-08,M,33-88990011-2,Cordillera SA,6236.09,0.0
2463,2025-01-08,B,30-11223344-5,Puna SA,109713.82,0.105
2529,2025-01-08,A,30-22334455-6,Quebrada SRL,73633.67,0.21
2503,2025-01-09,A,30-22334455-6,Quebrada SRL,117397.45,0.27
2433,2025-01-12,A,30-71234567-8,Norte SRL,95944.93,0.21
2336,2025-01-13,A,33-88990011-2,Cordillera SA,55900.8,0.105
2324,2025-01-16,B,33-45678901-9,Sur SA,113753.17,0.105
2366,2025-01-16,B,33-88990011-2,Cordillera SA,47557.29,0.105
2355,2025-01-18,M,33-88990011-2,Cordillera SA,59152.28,0.21
2444,2025-01-19,A,30-44556677-3,Valles SRL,30815.3,0.27
2502,2025-01-19,A,33-45678901-9,Sur SA,47000.99,0.21
2537,2025-01-19,A,30-71234567-8,Norte SRL,95056.04,0.0
2455,2025-01-20,A,30-98765432-1,Andes Coop,22658.18,0.27
2390,2025-01-21,A,30-22334455-6,Quebrada SRL,75544.61,0.27
2402,2025-01-21,M,33-55667788-0,Altiplano SA,46841.11,0.21
2531,2025-01-21,M,30-11223344-5,Puna SA,31573.96,0.105
2489,2025-01-23,M,33-55667788-0,Altiplano SA,37300.2,0.27
2332,2025-01-27,M,30-22334455-6,Quebrada SRL,85238.57,0.18
2339,2025-01-27,B,30-22334455-6,Quebrada SRL,42105.28,0.21
2518,2025-01-27,A,33-33445566-7,Humahuaca SA,109452.8,0.27
2338,2025-01-28,M,33-33445566-7,Humahuaca SA,90062.52,0.105
2342,2025-01-28,A,30-22334455-6,Quebrada SRL,100822.16,0.27
2359,2025-01-28,B,30-66778899-4,Noroeste SRL,55730.66,0.21
2368,2025-01-28,M,30-98765432-1,Andes Coop,115911.72,0.21
2497,2025-01-28,A,33-88990011-2,Cordillera SA,25507.61,0.27
2427,2025-01-29,B,33-45678901-9,Sur SA,21631.04,0.21
2476,2025-01-29,B,30-22334455-6,Quebrada SRL,32128.55,0.0
